Income bracket,count,
0,38.00,
1,93.00,
2,61.00,
3,80.00,
4,96.00,
5,110.00,
6,177.00,
7,143.00,
8,379.00,
9,345.00,
10,911.00,
11,675.00,
12,960.00,
13,964.00,
14,1290.00,
15,1603.00,
16,1450.00,
17,2018.00,
18,1791.00,
19,1908.00,
20,1989.00,
21,2059.00,
22,2100.00,
23,1933.00,
24,1739.00,
25,1804.00,
26,2193.00,
27,1580.00,
28,1866.00,
29,1627.00,
30,1484.00,
31,1672.00,
32,1477.00,
33,1255.00,
34,1182.00,
35,1303.00,
36,1240.00,
37,1263.00,
38,1075.00,
39,1017.00,
40,1008.00,
41,940.00,
42,881.00,
43,663.00,
44,788.00,
45,741.00,
46,515.00,
47,708.00,
48,651.00,
49,426.00,
50,519.00,
51,623.00,
52,427.00,
53,344.00,
54,413.00,
55,416.00,
56,356.00,
57,382.00,
58,394.00,
59,356.00,
60,267.00,
61,157.00,
62,313.00,
63,245.00,
64,222.00,
65,249.00,
66,199.00,
67,209.00,
68,178.00,
69,173.00,
70,152.00,
71,65.00,
72,171.00,
73,169.00,
74,105.00,
75,248.00,
76,77.00,
77,143.00,
78,145.00,
79,104.00,
